fish_id,tag_id,length_mm,weight_g,standard_weight,relative_weight,fin_ray,otolith,field_sex,lab_sex,pit_tag_nmbr,date,month,gear,location,comments,acoustic_id_nmbr,gonad_weight_g,ovary_1 _g,ovary_2_g,o1_sample_1,o1_sample_2,o1_sample_3,o2_sample_1,o2_sample_2,o2_sample_3,o1_avg_count,o2_avg_count,,
3,813,669,2779,2908.524,95.54674,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,362.51,193.25,169.26,200,217,201,211,219,238,206,223,,
4,893,702,2829,3435.113,82.35536,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,342.32,166.33,175.99,212,189,240,184,209,215,214,203,,
7,1153,748,3583,4277.637,83.76120,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,440.13,221.78,218.35,220,242,233,235,251,250,232,245,,
10,925,629,2153,2350.372,91.60252,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,249.64,123.47,126.17,310,301,289,295,289,292,300,292,,
11,899,671,2473,2938.685,84.15329,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,286.96,145.82,141.14,202,205,190,188,198,248,199,211,,
12,850,604,2102,2042.978,102.88903,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,threw_out_eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
15,1198,680,2823,3077.165,91.74028,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,338.61,172.54,166.07,245,275,267,261,271,257,262,263,,
19,930,764,3871,4602.255,84.11095,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,568.15,268.85,299.3,247,231,290,251,247,202,256,233,,
20,82,720,3313,3749.222,88.36501,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,425.55,190.53,235.02,220,253,223,232,238,277,232,249,,
23,1277,687,2894,3188.031,90.77705,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,400.67,216.41,184.26,224,231,268,234,247,221,241,234,,
25,884,696,2964,3334.706,88.88340,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,394.43,196.46,197.97,210,230,215,211,233,208,218,217,,
26,441,747,3369,4257.905,79.12341,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,447.58,213.12,234.46,205,214,189,190,185,200,203,192,,
27,1434,728,3790,3895.167,97.30007,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,548.49,263.67,284.82,220,240,229,215,227,212,230,218,,
33,449,707,3309,3520.412,93.99468,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,453.8,234.43,219.37,250,263,221,277,269,264,245,270,,
35,1425,646,2362,2577.292,91.64659,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,338.4,168.57,169.83,303,308,282,320,297,332,298,316,,
38,911,728,2968,3895.167,76.19700,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,370.62,174.98,195.64,242,267,243,238,231,220,251,230,,
40,1430,806,3710,5537.247,67.00080,Y,Y,2F 1M,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,391.61,196.41,195.2,217,242,198,195,194,170,219,186,,
43,895,771,3406,4749.632,71.71082,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,377.18,195.09,182.09,218,243,217,246,238,229,226,238,,
48,891,796,3677,5303.414,69.33269,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,401.17,197.22,203.95,218,210,230,221,237,242,219,233,,
51,896,681,2678,3092.833,86.58729,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,396.45,205.04,191.41,219,214,216,203,194,184,216,194,,
52,854,786,3616,5076.686,71.22757,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,406.09,220.2,185.89,226,250,270,228,216,282,249,242,,
54,1175,711,3044,3589.726,84.79755,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,445.2,223.49,221.71,240,262,213,222,207,243,238,224,,
57,1422,667,2702,2878.584,93.86560,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,366.75,203.91,162.84,288,260,254,284,273,259,267,272,,
58,1418,576,1707,1733.884,98.44948,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,253.41,116.88,136.53,286,281,266,293,273,265,278,277,,
61,938,685,2756,3156.070,87.32379,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,375.72,190.84,184.88,239,259,217,213,264,213,238,230,,
62,852,637,1989,2455.307,81.00819,Y,Y,2F 1M,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,273.08,128.92,144.16,278,272,252,263,252,278,267,264,,
64,431,607,1989,2078.261,95.70501,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,226.3,113.41,112.89,278,308,262,318,316,332,283,322,,
65,432,560,1510,1573.033,95.99290,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,135.89,72.9,62.99,258,239,267,301,275,250,255,275,,
67,430,590,1911,1883.929,101.43694,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,191.85,101.96,89.89,309,340,308,312,289,304,319,302,,
69,1421,653,2318,2675.100,86.65098,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,300.1,150.18,149.92,225,224,204,202,209,224,218,212,,
70,869,755,3604,4417.582,81.58308,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,489.58,230.69,258.89,218,198,202,210,220,231,206,220,,
71,442,707,3146,3520.412,89.36454,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,521.83,272.15,249.68,250,234,199,256,222,211,228,230,,
73,787,702,3285,3435.113,95.63003,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,542.98,282.58,260.4,264,251,230,243,227,246,248,239,,
74,872,712,2783,3607.205,77.15114,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,388.52,184.97,203.55,224,226,252,234,241,246,234,240,,
75,1282,666,2665,2863.696,93.06155,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,364.24,182.41,181.83,238,245,225,248,242,229,236,240,,
76,1271,718,3324,3713.352,89.51482,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,423.64,211.34,212.3,295,289,278,303,282,257,287,281,,
78,428,705,2738,3486.114,78.54017,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,407.24,226.89,180.35,280,261,279,273,247,279,273,266,,
79,1285,673,2479,2969.067,83.49423,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,310.75,158.85,151.9,255,232,246,243,229,238,244,237,,
80,436,685,2855,3156.070,90.46061,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,353.3,175.04,178.26,245,312,311,337,317,318,289,324,,
1,890,661,2340,2790.077,83.86864,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,104.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,937,688,2695,3204.097,84.11106,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5,79,545,1245,1432.143,86.93267,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,41.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,429,654,2118,2689.284,78.75702,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,93.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
8,1168,617,1864,2199.002,84.76574,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,72.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,931,700,2805,3401.409,82.46583,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,134.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,897,654,2338,2689.284,86.93763,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,99.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
14,910,691,2761,3252.641,84.88487,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,122.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,920,559,1792,1563.346,114.62591,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,95.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
17,888,673,2430,2969.067,81.84388,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,122.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18,1440,671,2575,2938.685,87.62423,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,111.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
21,448,632,2058,2389.341,86.13252,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,94.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
22,1266,629,1837,2350.372,78.15784,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,109.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
24,83,624,2209,2286.430,96.61349,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,162.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
28,91,717,3005,3695.508,81.31493,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,147.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
29,1272,743,3238,4179.625,77.47106,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,140.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
30,926,650,2311,2632.865,87.77511,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,131.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
31,443,700,2947,3401.409,86.64057,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,123.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
32,1259,668,2348,2893.526,81.14666,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,101.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
34,936,631,1930,2376.301,81.21866,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,109.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
36,878,616,1843,2186.709,84.28191,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,92.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
37,450,626,1861,2311.857,80.49807,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,84.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
39,440,765,3366,4623.107,72.80818,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,160.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
41,1191,646,2083,2577.292,80.82127,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
42,1439,676,2541,3015.059,84.27696,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
44,94,666,2427,2863.696,84.75061,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
45,782,691,2887,3252.641,88.75864,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
46,873,590,1759,1883.929,93.36869,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,77.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
47,1167,580,1664,1775.854,93.70142,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,74.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
49,1273,605,1894,2054.691,92.17930,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,132.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
50,444,658,2075,2746.557,75.54912,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,137.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
53,879,662,1876,2804.692,66.88791,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,81.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
55,1279,613,1885,2150.123,87.66938,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,76.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
56,88,574,1545,1713.166,90.18389,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,92.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
59,85,650,2400,2632.865,91.15546,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,176.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
60,1269,575,1467,1723.503,85.11734,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,89.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
63,84,674,2483,2984.342,83.20092,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,126.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
66,446,683,2540,3124.338,81.29723,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,112.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
68,433,596,1708,1950.972,87.54610,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,82.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
72,929,599,1879,1985.122,94.65415,Y,Y,F,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,109.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
77,881,684,2500,3140.175,79.61339,Y,Y,M,M,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,83.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
451,NA,765,3927,4623.107,84.94288,Y,N,F,NA,65287696,3.9.21,march,trammel_nets,james_mo_confluence,tagged,52933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
452,NA,664,2776,2834.085,97.95048,Y,N,F,NA,65287748,3.9.21,march,trammel_nets,james_mo_confluence,tagged,52930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
453,NA,702,2688,3435.113,78.25070,Y,N,M,NA,65287694,3.9.21,march,trammel_nets,james_mo_confluence,tagged,52937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
454,NA,738,3372,4083.220,82.58188,N,N,F,NA,65287712,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
455,NA,605,1746,2054.691,84.97627,N,N,M,NA,65287695,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
456,NA,641,2176,2509.004,86.72764,N,N,M,NA,65287721,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
457,NA,630,2146,2363.311,90.80479,N,N,F,NA,65287679,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
458,NA,712,3641,3607.205,100.93687,N,N,F,NA,65287741,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
459,NA,648,2412,2604.973,92.59213,N,N,M,NA,65287674,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
460,NA,599,1749,1985.122,88.10544,N,N,M,NA,65287708,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
461,NA,701,2538,3418.231,74.24892,N,N,M,NA,65287720,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
462,NA,620,1976,2236.174,88.36520,N,N,M,NA,65287746,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
463,NA,643,2189,2536.163,86.31150,N,N,F,NA,65287680,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
464,NA,667,2806,2878.584,97.47849,N,N,F,NA,65287737,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
465,NA,661,2530,2790.077,90.67849,N,N,F,NA,65287686,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
466,NA,721,3339,3767.249,88.63233,N,N,F,NA,65287699,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
467,NA,645,2133,2563.530,83.20559,N,N,F,NA,65287716,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
468,NA,643,2266,2536.163,89.34758,N,N,F,NA,65287723,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
469,NA,650,2369,2632.865,89.97803,N,N,F,NA,65287766,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
470,NA,614,1818,2162.270,84.07831,N,N,M,NA,65287707,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
471,NA,686,2763,3172.022,87.10533,N,N,M,NA,65287740,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
472,NA,625,2061,2299.118,89.64306,N,N,M,NA,65287738,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
473,NA,602,1831,2019.694,90.65732,N,N,M,NA,65287711,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
474,NA,624,1816,2286.430,79.42512,N,N,M,NA,65287709,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
475,NA,578,1575,1754.780,89.75485,N,N,M,NA,65287706,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
476,NA,703,3021,3452.054,87.51311,Y,N,F,NA,65287683,3.9.21,march,trammel_nets,james_mo_confluence,tagged,52934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
477,NA,674,2432,2984.342,81.49200,N,N,F,NA,65287722,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
478,NA,665,2361,2848.863,82.87516,Y,N,M,NA,65287761,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
479,NA,614,2044,2162.270,94.53029,N,N,F,NA,65287697,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
480,NA,608,1918,2090.118,91.76516,N,N,F,NA,65287693,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
481,NA,564,1429,1612.206,88.63631,N,N,M,NA,65287717,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
482,NA,727,3096,3876.707,79.86160,N,N,M,NA,65287078,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
483,NA,627,1993,2324.645,85.73352,N,N,M,NA,65287758,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
484,NA,609,1852,2102.023,88.10562,Y,N,M,NA,65287762,3.9.21,march,trammel_nets,james_mo_confluence,tagged,52931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
485,NA,587,1802,1851.029,97.35124,N,N,F,NA,65287754,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
486,NA,696,2648,3334.706,79.40730,N,N,M,NA,65287744,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
487,NA,571,1470,1682.420,87.37415,N,N,M,NA,65287698,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
488,NA,574,1363,1713.166,79.56029,N,N,M,NA,65287690,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
489,NA,670,2357,2923.577,80.62042,N,N,M,NA,65287750,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
490,NA,703,3101,3452.054,89.83057,N,N,F,NA,65287681,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
491,NA,614,2186,2162.270,101.09747,N,N,M,NA,65287751,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
492,NA,602,1626,2019.694,80.50726,N,N,M,NA,65287687,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,